portal_file,geometry_type,main_source,evidence_grade,current_status
data/reference/lga_boundaries.geojson,Polygon,GRID3 and WorldPop 2025,E1,Ready for review
data/reference/ward_boundaries.geojson,Polygon,GRID3 and WorldPop 2025,E1,Ready for review
data/reference/settlements.geojson,Polygon,GRID3 settlement polygons and name points,E0-E1,Name and community validation pending
data/reference/settlement_name_points.geojson,Point,GRID3 settlement-name points,E0,Supporting quality-assurance layer
data/reference/health_facilities.geojson,Point,GRID3 health-facility registry,E0,Facility verification pending
data/reference/facility_catchments.geojson,Polygon or empty,Derived from GRID3 wards and Secondary facilities,E1,Candidate catchments; not official
data/outputs/settlement_summary.geojson,Polygon,WorldPop 2025 allocated to GRID3 settlements,E1,Modelled values; validation pending
data/outputs/facility_readiness_summary.geojson,Point,GRID3 facility registry,E0,Current readiness audit pending
data/outputs/accessibility_summary.geojson,Empty FeatureCollection,No route or travel-time data supplied,E0,Pending analysis
data/outputs/service_continuity_summary.geojson,Empty FeatureCollection,No approved routine health data supplied,E0,Pending permissions and baseline data
data/outputs/hotspot_scores.geojson,Empty FeatureCollection,Composite scores not calculated,E0,Pending validated inputs
data/outputs/validation_points.geojson,Empty FeatureCollection,No field-validation observations supplied,E0,Pending fieldwork
data/outputs/action_locations.geojson,Empty FeatureCollection,No implemented PoC actions,E0,No outcome-linked records
